transcript_ref,transcript_base,transcript_version
NM_001320273.2,NM_001320273,2
NM_001320274.2,NM_001320274,2
NM_001320276.2,NM_001320276,2
NM_001320283.3,NM_001320283,3
NM_001320285.2,NM_001320285,2
NM_001320287.2,NM_001320287,2
NM_001320289.2,NM_001320289,2
NM_001320290.2,NM_001320290,2
NM_001320296.2,NM_001320296,2
NM_001320298.2,NM_001320298,2
NM_001320302.2,NM_001320302,2
NM_001320304.2,NM_001320304,2
NM_001320305.2,NM_001320305,2
NM_001320306.2,NM_001320306,2
NM_001320307.2,NM_001320307,2
NM_001320308.2,NM_001320308,2
NM_001320309.2,NM_001320309,2
NM_001320310.2,NM_001320310,2
NM_001320311.2,NM_001320311,2
NM_001320313.2,NM_001320313,2
NM_001320316.2,NM_001320316,2
NM_001320317.2,NM_001320317,2
NM_001320318.2,NM_001320318,2
NM_001320321.2,NM_001320321,2
NM_001320322.2,NM_001320322,2
NM_001320327.2,NM_001320327,2
NM_001320329.2,NM_001320329,2
NM_001320333.2,NM_001320333,2
NM_001320334.2,NM_001320334,2
NM_001320336.3,NM_001320336,3
NM_001320340.1,NM_001320340,1
NM_001320341.3,NM_001320341,3
NM_001320342.3,NM_001320342,3
NM_001320350.2,NM_001320350,2
NM_001320351.2,NM_001320351,2
NM_001320352.3,NM_001320352,3
NM_001320356.2,NM_001320356,2
NM_001320357.2,NM_001320357,2
NM_001320358.2,NM_001320358,2
NM_001320359.2,NM_001320359,2
NM_001320360.2,NM_001320360,2
NM_001320361.2,NM_001320361,2
NM_001320362.2,NM_001320362,2
NM_001320363.2,NM_001320363,2
NM_001320364.2,NM_001320364,2
NM_001320365.2,NM_001320365,2
NM_001320371.4,NM_001320371,4
NM_001320373.3,NM_001320373,3
NM_001320383.2,NM_001320383,2
NM_001320384.2,NM_001320384,2
NM_001320395.1,NM_001320395,1
NM_001320397.1,NM_001320397,1
NM_001320398.1,NM_001320398,1
NM_001320399.1,NM_001320399,1
NM_001320400.1,NM_001320400,1
NM_001320401.1,NM_001320401,1
NM_001320408.2,NM_001320408,2
NM_001320409.2,NM_001320409,2
NM_001320410.2,NM_001320410,2
NM_001320412.2,NM_001320412,2
NM_001320415.2,NM_001320415,2
NM_001320417.2,NM_001320417,2
NM_001320418.2,NM_001320418,2
NM_001320419.2,NM_001320419,2
NM_001320421.2,NM_001320421,2
NM_001320424.1,NM_001320424,1
NM_001320435.2,NM_001320435,2
NM_001320436.2,NM_001320436,2
NM_001320437.2,NM_001320437,2
NM_001320441.2,NM_001320441,2
NM_001320444.1,NM_001320444,1
NM_001320445.2,NM_001320445,2
NM_001320446.2,NM_001320446,2
NM_001320449.2,NM_001320449,2
NM_001320451.2,NM_001320451,2
NM_001320453.1,NM_001320453,1
NM_001320454.2,NM_001320454,2
NM_001320455.2,NM_001320455,2
NM_001320458.2,NM_001320458,2
NM_001320464.3,NM_001320464,3
NM_001320466.2,NM_001320466,2
NM_001320467.2,NM_001320467,2
NM_001320468.2,NM_001320468,2
NM_001320470.3,NM_001320470,3
NM_001320473.2,NM_001320473,2
NM_001320478.1,NM_001320478,1
NM_001320479.1,NM_001320479,1
NM_001320480.2,NM_001320480,2
NM_001320484.2,NM_001320484,2
NM_001320485.2,NM_001320485,2
NM_001320487.2,NM_001320487,2
NM_001320488.2,NM_001320488,2
NM_001320493.2,NM_001320493,2
NM_001320494.2,NM_001320494,2
NM_001320497.2,NM_001320497,2
NM_001320509.2,NM_001320509,2
NM_001320510.2,NM_001320510,2
NM_001320511.2,NM_001320511,2
NM_001320512.2,NM_001320512,2
NM_001320513.2,NM_001320513,2
NM_001320522.2,NM_001320522,2
NM_001320523.2,NM_001320523,2
NM_001320525.2,NM_001320525,2
NM_001320526.2,NM_001320526,2
NM_001320527.2,NM_001320527,2
NM_001320531.2,NM_001320531,2
NM_001320537.2,NM_001320537,2
NM_001320540.2,NM_001320540,2
NM_001320541.2,NM_001320541,2
NM_001320542.2,NM_001320542,2
NM_001320543.2,NM_001320543,2
NM_001320546.3,NM_001320546,3
NM_001320547.2,NM_001320547,2
NM_001320555.2,NM_001320555,2
NM_001320556.2,NM_001320556,2
NM_001320557.2,NM_001320557,2
NM_001320558.2,NM_001320558,2
NM_001320559.2,NM_001320559,2
NM_001320560.2,NM_001320560,2
NM_001320561.2,NM_001320561,2
NM_001320564.2,NM_001320564,2
NM_001320565.2,NM_001320565,2
NM_001320566.2,NM_001320566,2
NM_001320567.2,NM_001320567,2
NM_001320568.2,NM_001320568,2
NM_001320569.2,NM_001320569,2
NM_001320570.2,NM_001320570,2
NM_001320571.2,NM_001320571,2
NM_001320572.2,NM_001320572,2
NM_001320579.1,NM_001320579,1
NM_001320580.2,NM_001320580,2
NM_001320581.2,NM_001320581,2
NM_001320582.2,NM_001320582,2
NM_001320583.2,NM_001320583,2
NM_001320584.1,NM_001320584,1
NM_001320585.1,NM_001320585,1
NM_001320586.2,NM_001320586,2
NM_001320587.2,NM_001320587,2
NM_001320588.2,NM_001320588,2
NM_001320589.2,NM_001320589,2
NM_001320590.2,NM_001320590,2
NM_001320591.2,NM_001320591,2
NM_001320592.2,NM_001320592,2
NM_001320593.2,NM_001320593,2
NM_001320594.2,NM_001320594,2
NM_001320595.2,NM_001320595,2
NM_001320596.3,NM_001320596,3
NM_001320597.2,NM_001320597,2
NM_001320598.2,NM_001320598,2
NM_001320599.2,NM_001320599,2
NM_001320600.1,NM_001320600,1
NM_001320602.2,NM_001320602,2
NM_001320605.2,NM_001320605,2
NM_001320606.2,NM_001320606,2
NM_001320607.3,NM_001320607,3
NM_001320608.2,NM_001320608,2
NM_001320610.2,NM_001320610,2
NM_001320611.2,NM_001320611,2
NM_001320613.2,NM_001320613,2
NM_001320616.2,NM_001320616,2
NM_001320618.2,NM_001320618,2
NM_001320619.2,NM_001320619,2
NM_001320621.2,NM_001320621,2
NM_001320622.1,NM_001320622,1
NM_001320623.1,NM_001320623,1
NM_001320624.1,NM_001320624,1
NM_001320625.1,NM_001320625,1
NM_001320627.1,NM_001320627,1
NM_001320628.1,NM_001320628,1
NM_001320630.2,NM_001320630,2
NM_001320632.2,NM_001320632,2
NM_001320633.2,NM_001320633,2
NM_001320634.1,NM_001320634,1
NM_001320635.2,NM_001320635,2
NM_001320636.1,NM_001320636,1
NM_001320638.2,NM_001320638,2
NM_001320640.2,NM_001320640,2
NM_001320641.2,NM_001320641,2
NM_001320642.1,NM_001320642,1
NM_001320643.3,NM_001320643,3
NM_001320644.2,NM_001320644,2
NM_001320646.2,NM_001320646,2
NM_001320648.2,NM_001320648,2
NM_001320650.2,NM_001320650,2
NM_001320651.2,NM_001320651,2
NM_001320652.2,NM_001320652,2
NM_001320653.2,NM_001320653,2
NM_001320654.2,NM_001320654,2
NM_001320655.2,NM_001320655,2
NM_001320656.2,NM_001320656,2
NM_001320657.2,NM_001320657,2
NM_001320658.2,NM_001320658,2
NM_001320659.2,NM_001320659,2
NM_001320660.2,NM_001320660,2
NM_001320663.2,NM_001320663,2
NM_001320664.2,NM_001320664,2
NM_001320665.2,NM_001320665,2
NM_001320666.3,NM_001320666,3
NM_001320667.3,NM_001320667,3
NM_001320668.3,NM_001320668,3
NM_001320669.3,NM_001320669,3
NM_001320670.3,NM_001320670,3
NM_001320671.3,NM_001320671,3
NM_001320672.1,NM_001320672,1
NM_001320674.2,NM_001320674,2
NM_001320675.4,NM_001320675,4
NM_001320676.2,NM_001320676,2
NM_001320677.2,NM_001320677,2
NM_001320678.2,NM_001320678,2
NM_001320679.2,NM_001320679,2
NM_001320681.2,NM_001320681,2
NM_001320682.2,NM_001320682,2
NM_001320683.2,NM_001320683,2
NM_001320684.2,NM_001320684,2
NM_001320685.2,NM_001320685,2
NM_001320686.2,NM_001320686,2
NM_001320687.1,NM_001320687,1
NM_001320688.2,NM_001320688,2
NM_001320689.2,NM_001320689,2
NM_001320690.2,NM_001320690,2
NM_001320691.2,NM_001320691,2
NM_001320694.2,NM_001320694,2
NM_001320698.2,NM_001320698,2
NM_001320699.2,NM_001320699,2
NM_001320700.2,NM_001320700,2
NM_001320702.2,NM_001320702,2
NM_001320703.2,NM_001320703,2
NM_001320704.2,NM_001320704,2
NM_001320705.2,NM_001320705,2
NM_001320707.2,NM_001320707,2
NM_001320708.2,NM_001320708,2
NM_001320709.2,NM_001320709,2
NM_001320714.2,NM_001320714,2
NM_001320715.2,NM_001320715,2
NM_001320717.2,NM_001320717,2
NM_001320719.1,NM_001320719,1
NM_001320722.3,NM_001320722,3
NM_001320724.2,NM_001320724,2
NM_001320727.2,NM_001320727,2
NM_001320728.2,NM_001320728,2
NM_001320729.2,NM_001320729,2
NM_001320730.2,NM_001320730,2
NM_001320731.2,NM_001320731,2
NM_001320732.2,NM_001320732,2
NM_001320733.2,NM_001320733,2
NM_001320734.2,NM_001320734,2
NM_001320735.2,NM_001320735,2
NM_001320736.2,NM_001320736,2
NM_001320737.1,NM_001320737,1
NM_001320738.2,NM_001320738,2
NM_001320739.2,NM_001320739,2
NM_001320740.1,NM_001320740,1
NM_001320741.2,NM_001320741,2
NM_001320742.2,NM_001320742,2
NM_001320743.2,NM_001320743,2
NM_001320744.2,NM_001320744,2
NM_001320745.2,NM_001320745,2
NM_001320746.3,NM_001320746,3
NM_001320747.2,NM_001320747,2
NM_001320748.2,NM_001320748,2
NM_001320749.2,NM_001320749,2
NM_001320750.3,NM_001320750,3
NM_001320751.2,NM_001320751,2
NM_001320752.2,NM_001320752,2
NM_001320753.2,NM_001320753,2
NM_001320754.2,NM_001320754,2
NM_001320755.2,NM_001320755,2
NM_001320756.2,NM_001320756,2
NM_001320757.2,NM_001320757,2
NM_001320758.2,NM_001320758,2
NM_001320759.2,NM_001320759,2
NM_001320766.2,NM_001320766,2
NM_001320767.2,NM_001320767,2
NM_001320768.2,NM_001320768,2
NM_001320769.2,NM_001320769,2
NM_001320770.2,NM_001320770,2
NM_001320771.2,NM_001320771,2
NM_001320772.2,NM_001320772,2
NM_001320773.2,NM_001320773,2
NM_001320774.2,NM_001320774,2
NM_001320776.2,NM_001320776,2
NM_001320777.2,NM_001320777,2
NM_001320778.2,NM_001320778,2
NM_001320780.2,NM_001320780,2
NM_001320781.2,NM_001320781,2
NM_001320782.3,NM_001320782,3
NM_001320783.2,NM_001320783,2
NM_001320785.2,NM_001320785,2
NM_001320786.2,NM_001320786,2
NM_001320787.2,NM_001320787,2
NM_001320788.2,NM_001320788,2
NM_001320789.2,NM_001320789,2
NM_001320791.2,NM_001320791,2
NM_001320792.2,NM_001320792,2
NM_001320793.2,NM_001320793,2
NM_001320795.1,NM_001320795,1
NM_001320800.2,NM_001320800,2
NM_001320801.2,NM_001320801,2
NM_001320802.2,NM_001320802,2
NM_001320803.1,NM_001320803,1
NM_001320804.1,NM_001320804,1
NM_001320808.2,NM_001320808,2
NM_001320810.2,NM_001320810,2
NM_001320813.2,NM_001320813,2
NM_001320814.1,NM_001320814,1
NM_001320815.2,NM_001320815,2
NM_001320816.2,NM_001320816,2
NM_001320817.2,NM_001320817,2
NM_001320818.2,NM_001320818,2
NM_001320819.2,NM_001320819,2
NM_001320820.2,NM_001320820,2
NM_001320821.2,NM_001320821,2
NM_001320822.2,NM_001320822,2
NM_001320823.2,NM_001320823,2
NM_001320824.2,NM_001320824,2
NM_001320825.2,NM_001320825,2
NM_001320830.2,NM_001320830,2
NM_001320831.2,NM_001320831,2
NM_001320833.2,NM_001320833,2
NM_001320834.2,NM_001320834,2
NM_001320835.1,NM_001320835,1
NM_001320836.3,NM_001320836,3
NM_001320838.2,NM_001320838,2
NM_001320839.2,NM_001320839,2
NM_001320840.2,NM_001320840,2
NM_001320841.2,NM_001320841,2
NM_001320842.2,NM_001320842,2
NM_001320843.2,NM_001320843,2
NM_001320844.2,NM_001320844,2
NM_001320845.1,NM_001320845,1
NM_001320846.1,NM_001320846,1
NM_001320847.2,NM_001320847,2
NM_001320848.2,NM_001320848,2
NM_001320849.2,NM_001320849,2
NM_001320851.2,NM_001320851,2
NM_001320852.1,NM_001320852,1
NM_001320853.2,NM_001320853,2
NM_001320854.2,NM_001320854,2
NM_001320855.2,NM_001320855,2
NM_001320858.2,NM_001320858,2
NM_001320859.2,NM_001320859,2
NM_001320860.2,NM_001320860,2
NM_001320861.2,NM_001320861,2
NM_001320862.2,NM_001320862,2
NM_001320863.2,NM_001320863,2
NM_001320865.2,NM_001320865,2
NM_001320866.2,NM_001320866,2
NM_001320867.2,NM_001320867,2
NM_001320868.2,NM_001320868,2
NM_001320869.2,NM_001320869,2
NM_001320870.2,NM_001320870,2
NM_001320871.2,NM_001320871,2
NM_001320872.2,NM_001320872,2
NM_001320874.2,NM_001320874,2
NM_001320875.2,NM_001320875,2
NM_001320876.2,NM_001320876,2
NM_001320877.2,NM_001320877,2
NM_001320878.2,NM_001320878,2
NM_001320879.2,NM_001320879,2
NM_001320880.2,NM_001320880,2
NM_001320882.2,NM_001320882,2
NM_001320883.2,NM_001320883,2
NM_001320884.2,NM_001320884,2
NM_001320886.2,NM_001320886,2
NM_001320892.2,NM_001320892,2
NM_001320893.1,NM_001320893,1
NM_001320898.2,NM_001320898,2
NM_001320899.2,NM_001320899,2
NM_001320900.2,NM_001320900,2
NM_001320901.2,NM_001320901,2
NM_001320902.2,NM_001320902,2
NM_001320903.2,NM_001320903,2
NM_001320904.2,NM_001320904,2
NM_001320905.2,NM_001320905,2
NM_001320910.2,NM_001320910,2
NM_001320911.2,NM_001320911,2
NM_001320912.2,NM_001320912,2
NM_001320913.2,NM_001320913,2
NM_001320915.2,NM_001320915,2
NM_001320916.1,NM_001320916,1
NM_001320917.2,NM_001320917,2
NM_001320918.1,NM_001320918,1
NM_001320923.2,NM_001320923,2
NM_001320924.3,NM_001320924,3
NM_001320925.4,NM_001320925,4
NM_001320928.2,NM_001320928,2
NM_001320929.2,NM_001320929,2
NM_001320930.2,NM_001320930,2
NM_001320932.2,NM_001320932,2
NM_001320933.2,NM_001320933,2
NM_001320934.2,NM_001320934,2
NM_001320935.2,NM_001320935,2
NM_001320936.2,NM_001320936,2
NM_001320937.2,NM_001320937,2
NM_001320941.2,NM_001320941,2
NM_001320942.2,NM_001320942,2
NM_001320943.2,NM_001320943,2
NM_001320944.2,NM_001320944,2
NM_001320945.2,NM_001320945,2
NM_001320948.2,NM_001320948,2
NM_001320949.1,NM_001320949,1
NM_001320950.1,NM_001320950,1
NM_001320951.2,NM_001320951,2
NM_001320952.1,NM_001320952,1
NM_001320953.2,NM_001320953,2
NM_001320954.2,NM_001320954,2
NM_001320955.1,NM_001320955,1
NM_001320959.1,NM_001320959,1
NM_001320960.2,NM_001320960,2
NM_001320961.2,NM_001320961,2
NM_001320962.1,NM_001320962,1
NM_001320964.2,NM_001320964,2
NM_001320965.3,NM_001320965,3
NM_001320966.3,NM_001320966,3
NM_001320967.3,NM_001320967,3
NM_001320970.2,NM_001320970,2
NM_001320971.2,NM_001320971,2
NM_001320972.2,NM_001320972,2
NM_001320973.2,NM_001320973,2
NM_001320974.2,NM_001320974,2
NM_001320975.2,NM_001320975,2
NM_001320976.2,NM_001320976,2
NM_001320977.2,NM_001320977,2
NM_001320978.2,NM_001320978,2
NM_001320979.1,NM_001320979,1
NM_001320980.2,NM_001320980,2
NM_001320981.2,NM_001320981,2
NM_001320982.2,NM_001320982,2
NM_001320983.1,NM_001320983,1
NM_001320984.1,NM_001320984,1
NM_001320985.1,NM_001320985,1
NM_001320986.2,NM_001320986,2
NM_001320987.3,NM_001320987,3
NM_001320988.3,NM_001320988,3
NM_001320989.3,NM_001320989,3
NM_001320990.3,NM_001320990,3
NM_001320996.2,NM_001320996,2
NM_001321.3,NM_001321,3
NM_001321001.1,NM_001321001,1
NM_001321002.1,NM_001321002,1
NM_001321003.1,NM_001321003,1
NM_001321004.1,NM_001321004,1
NM_001321005.1,NM_001321005,1
NM_001321006.2,NM_001321006,2
NM_001321007.2,NM_001321007,2
NM_001321012.2,NM_001321012,2
NM_001321013.2,NM_001321013,2
NM_001321014.2,NM_001321014,2
NM_001321015.2,NM_001321015,2
NM_001321017.2,NM_001321017,2
NM_001321018.2,NM_001321018,2
NM_001321019.2,NM_001321019,2
NM_001321020.2,NM_001321020,2
NM_001321021.1,NM_001321021,1
NM_001321022.2,NM_001321022,2
NM_001321023.2,NM_001321023,2
NM_001321025.2,NM_001321025,2
NM_001321026.2,NM_001321026,2
NM_001321027.2,NM_001321027,2
NM_001321029.2,NM_001321029,2
NM_001321030.3,NM_001321030,3
NM_001321031.2,NM_001321031,2
NM_001321032.2,NM_001321032,2
NM_001321033.3,NM_001321033,3
NM_001321034.2,NM_001321034,2
NM_001321035.2,NM_001321035,2
NM_001321036.2,NM_001321036,2
NM_001321037.2,NM_001321037,2
NM_001321038.2,NM_001321038,2
NM_001321039.3,NM_001321039,3
NM_001321041.2,NM_001321041,2
NM_001321042.2,NM_001321042,2
NM_001321044.2,NM_001321044,2
NM_001321045.2,NM_001321045,2
NM_001321046.2,NM_001321046,2
NM_001321047.2,NM_001321047,2
NM_001321048.2,NM_001321048,2
NM_001321049.2,NM_001321049,2
NM_001321051.2,NM_001321051,2
NM_001321053.2,NM_001321053,2
NM_001321054.1,NM_001321054,1
NM_001321057.1,NM_001321057,1
NM_001321058.2,NM_001321058,2
NM_001321059.2,NM_001321059,2
NM_001321060.2,NM_001321060,2
NM_001321061.2,NM_001321061,2
NM_001321062.2,NM_001321062,2
NM_001321063.2,NM_001321063,2
NM_001321064.2,NM_001321064,2
NM_001321065.2,NM_001321065,2
NM_001321066.2,NM_001321066,2
NM_001321067.2,NM_001321067,2
NM_001321068.2,NM_001321068,2
NM_001321069.2,NM_001321069,2
NM_001321070.2,NM_001321070,2
NM_001321072.1,NM_001321072,1
NM_001321073.3,NM_001321073,3
NM_001321074.1,NM_001321074,1
NM_001321075.3,NM_001321075,3
NM_001321076.3,NM_001321076,3
NM_001321077.3,NM_001321077,3
NM_001321079.2,NM_001321079,2
NM_001321080.2,NM_001321080,2
NM_001321081.2,NM_001321081,2
NM_001321082.2,NM_001321082,2
NM_001321083.2,NM_001321083,2
NM_001321084.2,NM_001321084,2
NM_001321086.2,NM_001321086,2
NM_001321089.3,NM_001321089,3
NM_001321090.3,NM_001321090,3
NM_001321091.3,NM_001321091,3
NM_001321092.3,NM_001321092,3
NM_001321093.3,NM_001321093,3
NM_001321096.3,NM_001321096,3
NM_001321099.2,NM_001321099,2
NM_001321100.2,NM_001321100,2
NM_001321102.2,NM_001321102,2
NM_001321103.2,NM_001321103,2
NM_001321104.2,NM_001321104,2
NM_001321105.2,NM_001321105,2
NM_001321106.2,NM_001321106,2
NM_001321107.2,NM_001321107,2
NM_001321108.2,NM_001321108,2
NM_001321109.2,NM_001321109,2
NM_001321110.2,NM_001321110,2
NM_001321111.2,NM_001321111,2
NM_001321112.2,NM_001321112,2
NM_001321113.2,NM_001321113,2
NM_001321114.2,NM_001321114,2
NM_001321115.2,NM_001321115,2
NM_001321116.2,NM_001321116,2
NM_001321117.2,NM_001321117,2
NM_001321118.1,NM_001321118,1
NM_001321119.2,NM_001321119,2
NM_001321120.2,NM_001321120,2
NM_001321121.2,NM_001321121,2
NM_001321122.2,NM_001321122,2
NM_001321123.2,NM_001321123,2
NM_001321124.2,NM_001321124,2
NM_001321126.2,NM_001321126,2
NM_001321127.2,NM_001321127,2
NM_001321133.2,NM_001321133,2
NM_001321134.2,NM_001321134,2
NM_001321135.2,NM_001321135,2
NM_001321136.2,NM_001321136,2
NM_001321137.1,NM_001321137,1
NM_001321142.2,NM_001321142,2
NM_001321143.2,NM_001321143,2
NM_001321144.2,NM_001321144,2
NM_001321145.2,NM_001321145,2
NM_001321146.2,NM_001321146,2
NM_001321147.2,NM_001321147,2
NM_001321148.2,NM_001321148,2
NM_001321149.2,NM_001321149,2
NM_001321150.2,NM_001321150,2
NM_001321153.2,NM_001321153,2
NM_001321154.2,NM_001321154,2
NM_001321155.2,NM_001321155,2
NM_001321156.2,NM_001321156,2
NM_001321157.2,NM_001321157,2
NM_001321158.2,NM_001321158,2
NM_001321159.2,NM_001321159,2
NM_001321160.2,NM_001321160,2
NM_001321161.2,NM_001321161,2
NM_001321162.2,NM_001321162,2
NM_001321163.2,NM_001321163,2
NM_001321164.2,NM_001321164,2
NM_001321166.2,NM_001321166,2
NM_001321167.2,NM_001321167,2
NM_001321168.2,NM_001321168,2
NM_001321170.1,NM_001321170,1
NM_001321173.2,NM_001321173,2
NM_001321174.2,NM_001321174,2
NM_001321175.2,NM_001321175,2
NM_001321176.2,NM_001321176,2
NM_001321177.2,NM_001321177,2
NM_001321178.3,NM_001321178,3
NM_001321179.2,NM_001321179,2
NM_001321180.1,NM_001321180,1
NM_001321181.2,NM_001321181,2
NM_001321182.2,NM_001321182,2
NM_001321183.1,NM_001321183,1
NM_001321185.1,NM_001321185,1
NM_001321186.2,NM_001321186,2
NM_001321187.2,NM_001321187,2
NM_001321188.1,NM_001321188,1
NM_001321190.2,NM_001321190,2
NM_001321191.1,NM_001321191,1
NM_001321193.3,NM_001321193,3
NM_001321194.3,NM_001321194,3
NM_001321195.3,NM_001321195,3
NM_001321196.2,NM_001321196,2
NM_001321197.2,NM_001321197,2
NM_001321198.2,NM_001321198,2
NM_001321199.2,NM_001321199,2
NM_001321200.2,NM_001321200,2
NM_001321201.2,NM_001321201,2
NM_001321202.2,NM_001321202,2
NM_001321203.2,NM_001321203,2
NM_001321204.2,NM_001321204,2
NM_001321205.2,NM_001321205,2
NM_001321207.2,NM_001321207,2
NM_001321208.2,NM_001321208,2
NM_001321209.2,NM_001321209,2
NM_001321210.2,NM_001321210,2
NM_001321211.2,NM_001321211,2
NM_001321213.2,NM_001321213,2
NM_001321214.2,NM_001321214,2
NM_001321215.3,NM_001321215,3
NM_001321216.2,NM_001321216,2
NM_001321217.2,NM_001321217,2
NM_001321218.2,NM_001321218,2
NM_001321219.2,NM_001321219,2
NM_001321220.2,NM_001321220,2
NM_001321221.2,NM_001321221,2
NM_001321222.2,NM_001321222,2
NM_001321223.1,NM_001321223,1
NM_001321224.2,NM_001321224,2
NM_001321225.2,NM_001321225,2
NM_001321226.2,NM_001321226,2
NM_001321227.2,NM_001321227,2
NM_001321228.2,NM_001321228,2
NM_001321229.1,NM_001321229,1
NM_001321230.2,NM_001321230,2
NM_001321231.2,NM_001321231,2
NM_001321232.2,NM_001321232,2
NM_001321233.1,NM_001321233,1
NM_001321234.2,NM_001321234,2
NM_001321235.2,NM_001321235,2
NM_001321236.2,NM_001321236,2
NM_001321238.2,NM_001321238,2
NM_001321239.1,NM_001321239,1
NM_001321240.2,NM_001321240,2
NM_001321241.2,NM_001321241,2
NM_001321242.1,NM_001321242,1
NM_001321243.2,NM_001321243,2
NM_001321244.2,NM_001321244,2
NM_001321245.2,NM_001321245,2
NM_001321246.2,NM_001321246,2
NM_001321247.2,NM_001321247,2
NM_001321248.2,NM_001321248,2
NM_001321249.2,NM_001321249,2
NM_001321250.2,NM_001321250,2
NM_001321251.1,NM_001321251,1
NM_001321263.2,NM_001321263,2
NM_001321264.3,NM_001321264,3
NM_001321265.2,NM_001321265,2
NM_001321266.2,NM_001321266,2
NM_001321267.2,NM_001321267,2
NM_001321268.2,NM_001321268,2
NM_001321269.2,NM_001321269,2
NM_001321270.2,NM_001321270,2
NM_001321271.1,NM_001321271,1
NM_001321272.2,NM_001321272,2
NM_001321276.2,NM_001321276,2
NM_001321277.2,NM_001321277,2
NM_001321278.2,NM_001321278,2
NM_001321279.2,NM_001321279,2
NM_001321281.2,NM_001321281,2
NM_001321282.2,NM_001321282,2
NM_001321283.2,NM_001321283,2
NM_001321284.2,NM_001321284,2
NM_001321285.2,NM_001321285,2
NM_001321287.2,NM_001321287,2
NM_001321288.2,NM_001321288,2
NM_001321289.2,NM_001321289,2
NM_001321290.2,NM_001321290,2
NM_001321291.2,NM_001321291,2
NM_001321293.2,NM_001321293,2
NM_001321294.2,NM_001321294,2
NM_001321295.2,NM_001321295,2
NM_001321298.2,NM_001321298,2
NM_001321299.2,NM_001321299,2
NM_001321300.1,NM_001321300,1
NM_001321301.1,NM_001321301,1
NM_001321302.1,NM_001321302,1
NM_001321303.1,NM_001321303,1
NM_001321304.1,NM_001321304,1
NM_001321305.1,NM_001321305,1
NM_001321307.1,NM_001321307,1
NM_001321308.2,NM_001321308,2
NM_001321309.2,NM_001321309,2
NM_001321310.2,NM_001321310,2
NM_001321311.2,NM_001321311,2
NM_001321312.2,NM_001321312,2
NM_001321313.1,NM_001321313,1
NM_001321314.1,NM_001321314,1
NM_001321315.1,NM_001321315,1
NM_001321316.2,NM_001321316,2
NM_001321317.2,NM_001321317,2
NM_001321318.2,NM_001321318,2
NM_001321319.2,NM_001321319,2
NM_001321320.2,NM_001321320,2
NM_001321321.2,NM_001321321,2
NM_001321322.2,NM_001321322,2
NM_001321323.2,NM_001321323,2
NM_001321324.2,NM_001321324,2
NM_001321325.2,NM_001321325,2
NM_001321326.2,NM_001321326,2
NM_001321328.2,NM_001321328,2
NM_001321329.2,NM_001321329,2
NM_001321330.2,NM_001321330,2
NM_001321331.2,NM_001321331,2
NM_001321332.2,NM_001321332,2
NM_001321333.2,NM_001321333,2
NM_001321335.2,NM_001321335,2
NM_001321336.2,NM_001321336,2
NM_001321337.2,NM_001321337,2
NM_001321343.2,NM_001321343,2
NM_001321344.2,NM_001321344,2
NM_001321345.2,NM_001321345,2
NM_001321346.2,NM_001321346,2
NM_001321349.2,NM_001321349,2
NM_001321350.2,NM_001321350,2
NM_001321351.2,NM_001321351,2
NM_001321352.2,NM_001321352,2
NM_001321353.2,NM_001321353,2
NM_001321355.2,NM_001321355,2
NM_001321356.2,NM_001321356,2
NM_001321357.2,NM_001321357,2
NM_001321358.2,NM_001321358,2
NM_001321359.2,NM_001321359,2
NM_001321361.2,NM_001321361,2
NM_001321362.2,NM_001321362,2
NM_001321363.2,NM_001321363,2
NM_001321364.2,NM_001321364,2
NM_001321365.2,NM_001321365,2
NM_001321367.2,NM_001321367,2
NM_001321368.2,NM_001321368,2
NM_001321369.2,NM_001321369,2
NM_001321370.2,NM_001321370,2
NM_001321375.2,NM_001321375,2
NM_001321376.2,NM_001321376,2
NM_001321378.2,NM_001321378,2
NM_001321380.2,NM_001321380,2
NM_001321381.3,NM_001321381,3
NM_001321382.1,NM_001321382,1
NM_001321383.1,NM_001321383,1
NM_001321384.2,NM_001321384,2
NM_001321386.2,NM_001321386,2
NM_001321387.3,NM_001321387,3
NM_001321389.2,NM_001321389,2
NM_001321390.2,NM_001321390,2
NM_001321391.2,NM_001321391,2
NM_001321395.2,NM_001321395,2
NM_001321396.3,NM_001321396,3
NM_001321397.3,NM_001321397,3
NM_001321399.2,NM_001321399,2
NM_001321400.1,NM_001321400,1
NM_001321401.1,NM_001321401,1
NM_001321402.1,NM_001321402,1
NM_001321403.1,NM_001321403,1
NM_001321404.1,NM_001321404,1
NM_001321411.2,NM_001321411,2
NM_001321413.1,NM_001321413,1
NM_001321417.2,NM_001321417,2
NM_001321420.2,NM_001321420,2
NM_001321421.2,NM_001321421,2
NM_001321422.1,NM_001321422,1
NM_001321423.1,NM_001321423,1
NM_001321424.2,NM_001321424,2
NM_001321425.2,NM_001321425,2
NM_001321427.2,NM_001321427,2
NM_001321428.2,NM_001321428,2
NM_001321429.2,NM_001321429,2
NM_001321430.2,NM_001321430,2
NM_001321431.2,NM_001321431,2
NM_001321432.2,NM_001321432,2
NM_001321433.2,NM_001321433,2
NM_001321435.2,NM_001321435,2
NM_001321436.2,NM_001321436,2
NM_001321438.2,NM_001321438,2
NM_001321439.2,NM_001321439,2
NM_001321440.2,NM_001321440,2
NM_001321441.2,NM_001321441,2
NM_001321445.2,NM_001321445,2
