transcript_ref,transcript_base,transcript_version
NM_000215.4,NM_000215,4
NM_000216.4,NM_000216,4
NM_000217.3,NM_000217,3
NM_000218.3,NM_000218,3
NM_000219.6,NM_000219,6
NM_000220.6,NM_000220,6
NM_000221.3,NM_000221,3
NM_000222.3,NM_000222,3
NM_000223.4,NM_000223,4
NM_000224.3,NM_000224,3
NM_000226.4,NM_000226,4
NM_000227.6,NM_000227,6
NM_000228.3,NM_000228,3
NM_000229.2,NM_000229,2
NM_000230.3,NM_000230,3
NM_000231.3,NM_000231,3
NM_000232.5,NM_000232,5
NM_000233.4,NM_000233,4
NM_000234.3,NM_000234,3
NM_000235.4,NM_000235,4
NM_000236.3,NM_000236,3
NM_000237.3,NM_000237,3
NM_000238.4,NM_000238,4
NM_000239.3,NM_000239,3
NM_000240.4,NM_000240,4
NM_000242.3,NM_000242,3
NM_000243.3,NM_000243,3
NM_000244.4,NM_000244,4
NM_000245.4,NM_000245,4
NM_000246.4,NM_000246,4
NM_000247.3,NM_000247,3
NM_000248.4,NM_000248,4
NM_000249.4,NM_000249,4
NM_000250.2,NM_000250,2
NM_000251.3,NM_000251,3
NM_000252.3,NM_000252,3
NM_000253.4,NM_000253,4
NM_000254.3,NM_000254,3
NM_000255.4,NM_000255,4
NM_000256.3,NM_000256,3
NM_000257.4,NM_000257,4
NM_000258.3,NM_000258,3
NM_000259.3,NM_000259,3
NM_000260.4,NM_000260,4
NM_000261.2,NM_000261,2
NM_000262.3,NM_000262,3
NM_000263.4,NM_000263,4
NM_000264.5,NM_000264,5
NM_000265.7,NM_000265,7
NM_000266.4,NM_000266,4
NM_000267.3,NM_000267,3
NM_000268.4,NM_000268,4
NM_000269.3,NM_000269,3
NM_000270.4,NM_000270,4
NM_000271.5,NM_000271,5
NM_000272.5,NM_000272,5
NM_000273.3,NM_000273,3
NM_000274.4,NM_000274,4
NM_000275.3,NM_000275,3
NM_000276.4,NM_000276,4
NM_000277.3,NM_000277,3
NM_000278.5,NM_000278,5
NM_000280.6,NM_000280,6
NM_000281.4,NM_000281,4
NM_000282.4,NM_000282,4
NM_000283.4,NM_000283,4
NM_000284.4,NM_000284,4
NM_000285.4,NM_000285,4
NM_000286.3,NM_000286,3
NM_000287.4,NM_000287,4
NM_000288.4,NM_000288,4
NM_000289.6,NM_000289,6
NM_000290.4,NM_000290,4
NM_000291.4,NM_000291,4
NM_000292.3,NM_000292,3
NM_000293.3,NM_000293,3
NM_000294.3,NM_000294,3
NM_000295.5,NM_000295,5
NM_000296.4,NM_000296,4
NM_000297.4,NM_000297,4
NM_000298.6,NM_000298,6
NM_000299.4,NM_000299,4
NM_000300.4,NM_000300,4
NM_000301.5,NM_000301,5
NM_000302.4,NM_000302,4
NM_000303.3,NM_000303,3
NM_000304.4,NM_000304,4
NM_000305.3,NM_000305,3
NM_000306.4,NM_000306,4
NM_000307.5,NM_000307,5
NM_000308.4,NM_000308,4
NM_000309.5,NM_000309,5
NM_000310.4,NM_000310,4
NM_000311.5,NM_000311,5
NM_000312.4,NM_000312,4
NM_000313.4,NM_000313,4
NM_000314.8,NM_000314,8
NM_000315.4,NM_000315,4
NM_000316.3,NM_000316,3
NM_000317.3,NM_000317,3
NM_000318.3,NM_000318,3
NM_000319.5,NM_000319,5
NM_000320.3,NM_000320,3
NM_000321.3,NM_000321,3
NM_000322.5,NM_000322,5
NM_000323.2,NM_000323,2
NM_000324.3,NM_000324,3
NM_000325.6,NM_000325,6
NM_000326.5,NM_000326,5
NM_000327.4,NM_000327,4
NM_000328.3,NM_000328,3
NM_000329.3,NM_000329,3
NM_000330.4,NM_000330,4
NM_000331.6,NM_000331,6
NM_000332.4,NM_000332,4
NM_000333.4,NM_000333,4
NM_000334.4,NM_000334,4
NM_000335.5,NM_000335,5
NM_000336.3,NM_000336,3
NM_000337.6,NM_000337,6
NM_000338.3,NM_000338,3
NM_000339.3,NM_000339,3
NM_000340.2,NM_000340,2
NM_000341.4,NM_000341,4
NM_000342.4,NM_000342,4
NM_000343.4,NM_000343,4
NM_000344.4,NM_000344,4
NM_000345.4,NM_000345,4
NM_000346.4,NM_000346,4
NM_000347.5,NM_000347,5
NM_000348.4,NM_000348,4
NM_000349.3,NM_000349,3
NM_000350.3,NM_000350,3
NM_000351.7,NM_000351,7
NM_000352.6,NM_000352,6
NM_000353.3,NM_000353,3
NM_000354.6,NM_000354,6
NM_000355.4,NM_000355,4
NM_000356.4,NM_000356,4
NM_000358.3,NM_000358,3
NM_000359.3,NM_000359,3
NM_000360.4,NM_000360,4
NM_000361.3,NM_000361,3
NM_000362.5,NM_000362,5
NM_000363.5,NM_000363,5
NM_000364.4,NM_000364,4
NM_000365.6,NM_000365,6
NM_000366.6,NM_000366,6
NM_000367.5,NM_000367,5
NM_000368.5,NM_000368,5
NM_000369.5,NM_000369,5
NM_000370.3,NM_000370,3
NM_000371.4,NM_000371,4
NM_000372.5,NM_000372,5
NM_000373.4,NM_000373,4
NM_000374.5,NM_000374,5
NM_000375.3,NM_000375,3
NM_000376.3,NM_000376,3
NM_000377.3,NM_000377,3
NM_000378.6,NM_000378,6
NM_000379.4,NM_000379,4
NM_000380.4,NM_000380,4
NM_000381.4,NM_000381,4
NM_000382.3,NM_000382,3
NM_000383.4,NM_000383,4
NM_000384.3,NM_000384,3
NM_000385.3,NM_000385,3
NM_000386.4,NM_000386,4
NM_000387.6,NM_000387,6
NM_000388.4,NM_000388,4
NM_000389.5,NM_000389,5
NM_000390.4,NM_000390,4
NM_000391.4,NM_000391,4
NM_000392.5,NM_000392,5
NM_000393.5,NM_000393,5
NM_000394.4,NM_000394,4
NM_000395.3,NM_000395,3
NM_000396.4,NM_000396,4
NM_000397.4,NM_000397,4
NM_000398.7,NM_000398,7
NM_000399.5,NM_000399,5
NM_000400.4,NM_000400,4
NM_000401.3,NM_000401,3
NM_000402.4,NM_000402,4
NM_000403.4,NM_000403,4
NM_000404.4,NM_000404,4
NM_000405.5,NM_000405,5
NM_000406.3,NM_000406,3
NM_000407.5,NM_000407,5
NM_000408.5,NM_000408,5
NM_000409.5,NM_000409,5
NM_000410.4,NM_000410,4
NM_000411.8,NM_000411,8
NM_000412.5,NM_000412,5
NM_000413.4,NM_000413,4
NM_000414.4,NM_000414,4
NM_000415.3,NM_000415,3
NM_000416.3,NM_000416,3
NM_000417.3,NM_000417,3
NM_000418.4,NM_000418,4
NM_000419.5,NM_000419,5
